invest,dir_like,time,film_fb_like,IMDB,Box_office,Action,Adventure,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Music,Mystery,Romance,Sci-Fi,Thriller,War,Western
25000000,0,142,108000,9.3,28341469,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6000000,0,175,43000,9.2,134821952,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
185000000,22000,152,37000,9,533316061,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
94000000,0,192,16000,8.9,377019252,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
22000000,14000,185,41000,8.9,96067179,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8000000,16000,178,45000,8.9,107930000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1200000,0,142,20000,8.9,6100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160000000,22000,148,175000,8.8,292568851,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
93000000,0,171,21000,8.8,313837577,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
63000000,21000,151,48000,8.8,37023395,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55000000,0,142,59000,8.8,329691196,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
18000000,883,127,17000,8.8,290158751,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
94000000,0,172,10000,8.7,340478898,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
63000000,0,136,25000,8.7,171383253,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25000000,17000,146,25000,8.7,46836394,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11000000,0,125,33000,8.7,460935665,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4400000,869,133,32000,8.7,112000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2000000,0,202,11000,8.7,269061,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
165000000,22000,169,349000,8.6,187991439,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
70000000,14000,169,22000,8.6,216119491,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
19000000,438,138,40000,8.6,130727000,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
19000000,6000,125,28000,8.6,10049886,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7500000,194,101,35000,8.6,6712241,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6000000,0,106,28000,8.6,23272306,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
